# i, x, y, z, vx, vy, vz
0, 0, 0, 0, 2.2, -0.29, 0
1, 1, 0, 0, 2.21, -1.45, 0
2, 2, 0, 0, 2.19, -1.61, 0.01
3, 3, 0, 0, 2.14, -1.03, 0.01
4, 4, 0, 0, 2.08, -0.15, 0.01
5, 5, 0, 0, 2.02, 0.87, 0.01
6, 6, 0, 0, 1.91, 1.9, 0.02
7, 7, 0, 0, 1.77, 2.78, 0.02
8, 8, 0, 0, 1.62, 3.5, 0.02
9, 9, 0, 0, 1.49, 4.06, 0.01
10, 10, 0, 0, 1.41, 4.52, 0.01
11, 11, 0, 0, 1.37, 4.9, 0
12, 12, 0, 0, 1.38, 5.23, 0
13, 13, 0, 0, 1.4, 5.49, 0
14, 14, 0, 0, 1.42, 5.66, 0
15, 15, 0, 0, 1.43, 5.73, 0
16, 16, 0, 0, 1.43, 5.68, 0
17, 17, 0, 0, 1.41, 5.5, 0
18, 18, 0, 0, 1.4, 5.22, 0
19, 19, 0, 0, 1.41, 4.83, 0
20, 20, 0, 0, 1.44, 4.35, -0.01
21, 21, 0, 0, 1.51, 3.78, -0.01
22, 22, 0, 0, 1.61, 3.15, -0.01
23, 23, 0, 0, 1.75, 2.16, -0.02
24, 24, 0, 0, 1.81, -0.06, 0
25, 0, 1, 0, 3.01, -0.27, 0
26, 1, 1, 0, 3.02, -1.38, -0.01
27, 2, 1, 0, 2.98, -1.55, -0.01
28, 3, 1, 0, 2.93, -0.98, 0
29, 4, 1, 0, 2.82, -0.13, 0.01
30, 5, 1, 0, 2.63, 0.87, 0.03
31, 6, 1, 0, 2.37, 1.87, 0.03
32, 7, 1, 0, 2.1, 2.76, 0.03
33, 8, 1, 0, 1.85, 3.49, 0.02
34, 9, 1, 0, 1.66, 4.06, 0.02
35, 10, 1, 0, 1.53, 4.53, 0.01
36, 11, 1, 0, 1.45, 4.93, 0
37, 12, 1, 0, 1.42, 5.27, 0
38, 13, 1, 0, 1.4, 5.54, 0
39, 14, 1, 0, 1.38, 5.72, 0
40, 15, 1, 0, 1.35, 5.78, 0
41, 16, 1, 0, 1.31, 5.72, 0
42, 17, 1, 0, 1.27, 5.54, 0
43, 18, 1, 0, 1.23, 5.25, 0
44, 19, 1, 0, 1.21, 4.86, 0
45, 20, 1, 0, 1.21, 4.37, 0
46, 21, 1, 0, 1.25, 3.79, 0
47, 22, 1, 0, 1.31, 3.16, -0.01
48, 23, 1, 0, 1.39, 2.17, 0
49, 24, 1, 0, 1.41, -0.13, 0.02
50, 0, 2, 0, 3.72, -0.25, 0
51, 1, 2, 0, 3.72, -1.26, -0.01
52, 2, 2, 0, 3.67, -1.44, 0
53, 3, 2, 0, 3.61, -0.91, 0
54, 4, 2, 0, 3.49, -0.09, 0.01
55, 5, 2, 0, 3.29, 0.85, 0.03
56, 6, 2, 0, 2.99, 1.83, 0.04
57, 7, 2, 0, 2.63, 2.73, 0.04
58, 8, 2, 0, 2.27, 3.49, 0.03
59, 9, 2, 0, 1.98, 4.1, 0.02
60, 10, 2, 0, 1.76, 4.59, 0.01
61, 11, 2, 0, 1.61, 4.99, 0.01
62, 12, 2, 0, 1.5, 5.33, 0.01
63, 13, 2, 0, 1.39, 5.61, 0
64, 14, 2, 0, 1.29, 5.8, 0
65, 15, 2, 0, 1.18, 5.87, 0
66, 16, 2, 0, 1.08, 5.8, 0
67, 17, 2, 0, 0.98, 5.6, 0
68, 18, 2, 0, 0.89, 5.28, 0
69, 19, 2, 0, 0.82, 4.87, 0.01
70, 20, 2, 0, 0.79, 4.37, 0
71, 21, 2, 0, 0.79, 3.78, 0
72, 22, 2, 0, 0.81, 3.16, 0
73, 23, 2, 0, 0.85, 2.13, 0.01
74, 24, 2, 0, 0.85, -0.36, 0.03
75, 0, 3, 0, 4.29, -0.24, 0
76, 1, 3, 0, 4.29, -1.16, 0
77, 2, 3, 0, 4.25, -1.34, 0
78, 3, 3, 0, 4.19, -0.85, 0
79, 4, 3, 0, 4.08, -0.08, 0.02
80, 5, 3, 0, 3.9, 0.82, 0.03
81, 6, 3, 0, 3.63, 1.78, 0.04
82, 7, 3, 0, 3.26, 2.7, 0.05
83, 8, 3, 0, 2.84, 3.52, 0.04
84, 9, 3, 0, 2.44, 4.2, 0.03
85, 10, 3, 0, 2.11, 4.74, 0.01
86, 11, 3, 0, 1.84, 5.14, 0
87, 12, 3, 0, 1.62, 5.46, 0
88, 13, 3, 0, 1.39, 5.72, 0.01
89, 14, 3, 0, 1.16, 5.9, 0.01
90, 15, 3, 0, 0.93, 5.97, 0.01
91, 16, 3, 0, 0.72, 5.89, 0.01
92, 17, 3, 0, 0.55, 5.66, 0.01
93, 18, 3, 0, 0.4, 5.32, 0.01
94, 19, 3, 0, 0.28, 4.88, 0.01
95, 20, 3, 0, 0.2, 4.35, 0.01
96, 21, 3, 0, 0.15, 3.75, 0.01
97, 22, 3, 0, 0.14, 3.13, 0.01
98, 23, 3, 0, 0.19, 1.97, 0.02
99, 24, 3, 0, 0.22, -0.72, 0.04
100, 0, 4, 0, 4.79, -0.23, 0
101, 1, 4, 0, 4.8, -1.08, 0
102, 2, 4, 0, 4.77, -1.26, 0
103, 3, 4, 0, 4.73, -0.82, 0
104, 4, 4, 0, 4.64, -0.09, 0.01
105, 5, 4, 0, 4.5, 0.79, 0.02
106, 6, 4, 0, 4.26, 1.74, 0.03
107, 7, 4, 0, 3.93, 2.7, 0.04
108, 8, 4, 0, 3.49, 3.61, 0.04
109, 9, 4, 0, 3.01, 4.39, 0.03
110, 10, 4, 0, 2.54, 5.02, 0.01
111, 11, 4, 0, 2.12, 5.47, 0
112, 12, 4, 0, 1.75, 5.76, 0
113, 13, 4, 0, 1.38, 5.96, 0.01
114, 14, 4, 0, 0.99, 6.08, 0.02
115, 15, 4, 0, 0.61, 6.1, 0.02
116, 16, 4, 0, 0.28, 5.98, 0.02
117, 17, 4, 0, 0, 5.72, 0.02
118, 18, 4, 0, -0.22, 5.33, 0.02
119, 19, 4, 0, -0.39, 4.84, 0.02
120, 20, 4, 0, -0.53, 4.28, 0.02
121, 21, 4, 0, -0.62, 3.67, 0.02
122, 22, 4, 0, -0.64, 2.98, 0.02
123, 23, 4, 0, -0.59, 1.62, 0.04
124, 24, 4, 0, -0.56, -0.84, -0.01
125, 0, 5, 0, 5.22, -0.22, 0
126, 1, 5, 0, 5.24, -1, -0.01
127, 2, 5, 0, 5.23, -1.19, 0
128, 3, 5, 0, 5.22, -0.78, 0
129, 4, 5, 0, 5.18, -0.09, 0.01
130, 5, 5, 0, 5.09, 0.76, 0.02
131, 6, 5, 0, 4.92, 1.72, 0.03
132, 7, 5, 0, 4.63, 2.74, 0.03
133, 8, 5, 0, 4.2, 3.74, 0.04
134, 9, 5, 0, 3.65, 4.65, 0.04
135, 10, 5, 0, 3.04, 5.42, 0.02
136, 11, 5, 0, 2.43, 5.98, 0
137, 12, 5, 0, 1.86, 6.29, -0.01
138, 13, 5, 0, 1.3, 6.41, 0
139, 14, 5, 0, 0.74, 6.4, 0.02
140, 15, 5, 0, 0.2, 6.3, 0.03
141, 16, 5, 0, -0.28, 6.09, 0.03
142, 17, 5, 0, -0.66, 5.75, 0.03
143, 18, 5, 0, -0.95, 5.3, 0.03
144, 19, 5, 0, -1.17, 4.74, 0.04
145, 20, 5, 0, -1.35, 4.13, 0.04
146, 21, 5, 0, -1.47, 3.48, 0.03
147, 22, 5, 0, -1.5, 2.65, 0.04
148, 23, 5, 0, -1.52, 1.21, 0.05
149, 24, 5, 0, -1.55, -0.62, -0.03
150, 0, 6, 0, 5.58, -0.2, 0
151, 1, 6, 0, 5.61, -0.93, -0.01
152, 2, 6, 0, 5.62, -1.12, -0.01
153, 3, 6, 0, 5.65, -0.75, -0.01
154, 4, 6, 0, 5.68, -0.09, 0
155, 5, 6, 0, 5.67, 0.73, 0.01
156, 6, 6, 0, 5.57, 1.7, 0.02
157, 7, 6, 0, 5.35, 2.75, 0.03
158, 8, 6, 0, 4.96, 3.83, 0.04
159, 9, 6, 0, 4.38, 4.89, 0.05
160, 10, 6, 0, 3.62, 5.84, 0.05
161, 11, 6, 0, 2.77, 6.58, 0.03
162, 12, 6, 0, 1.92, 7, 0.01
163, 13, 6, 0, 1.1, 7.08, 0.01
164, 14, 6, 0, 0.33, 6.9, 0.02
165, 15, 6, 0, -0.37, 6.6, 0.04
166, 16, 6, 0, -0.98, 6.21, 0.04
167, 17, 6, 0, -1.45, 5.74, 0.05
168, 18, 6, 0, -1.79, 5.18, 0.05
169, 19, 6, 0, -2.04, 4.55, 0.05
170, 20, 6, 0, -2.22, 3.89, 0.04
171, 21, 6, 0, -2.31, 3.18, 0.04
172, 22, 6, 0, -2.35, 2.22, 0.05
173, 23, 6, 0, -2.45, 0.89, 0.04
174, 24, 6, 0, -2.53, -0.38, -0.02
175, 0, 7, 0, 5.87, -0.18, 0
176, 1, 7, 0, 5.91, -0.85, -0.01
177, 2, 7, 0, 5.95, -1.04, -0.01
178, 3, 7, 0, 6.03, -0.71, -0.01
179, 4, 7, 0, 6.13, -0.11, -0.01
180, 5, 7, 0, 6.19, 0.67, 0.01
181, 6, 7, 0, 6.17, 1.59, 0.03
182, 7, 7, 0, 6.02, 2.62, 0.05
183, 8, 7, 0, 5.7, 3.75, 0.07
184, 9, 7, 0, 5.15, 4.94, 0.08
185, 10, 7, 0, 4.29, 6.09, 0.09
186, 11, 7, 0, 3.17, 7.06, 0.09
187, 12, 7, 0, 1.92, 7.68, 0.07
188, 13, 7, 0, 0.73, 7.8, 0.05
189, 14, 7, 0, -0.32, 7.49, 0.04
190, 15, 7, 0, -1.19, 6.94, 0.05
191, 16, 7, 0, -1.88, 6.31, 0.06
192, 17, 7, 0, -2.38, 5.65, 0.06
193, 18, 7, 0, -2.73, 4.96, 0.06
194, 19, 7, 0, -2.95, 4.25, 0.05
195, 20, 7, 0, -3.07, 3.55, 0.05
196, 21, 7, 0, -3.1, 2.79, 0.04
197, 22, 7, 0, -3.13, 1.8, 0.05
198, 23, 7, 0, -3.28, 0.7, 0.04
199, 24, 7, 0, -3.38, -0.22, -0.01
200, 0, 8, 0, 6.08, -0.15, 0
201, 1, 8, 0, 6.13, -0.76, -0.01
202, 2, 8, 0, 6.21, -0.96, -0.01
203, 3, 8, 0, 6.33, -0.7, -0.01
204, 4, 8, 0, 6.47, -0.18, 0
205, 5, 8, 0, 6.58, 0.49, 0.02
206, 6, 8, 0, 6.61, 1.28, 0.05
207, 7, 8, 0, 6.56, 2.2, 0.07
208, 8, 8, 0, 6.37, 3.29, 0.1
209, 9, 8, 0, 5.93, 4.55, 0.13
210, 10, 8, 0, 5.05, 5.87, 0.17
211, 11, 8, 0, 3.67, 7.05, 0.2
212, 12, 8, 0, 1.93, 7.91, 0.2
213, 13, 8, 0, 0.18, 8.24, 0.15
214, 14, 8, 0, -1.27, 7.92, 0.1
215, 15, 8, 0, -2.31, 7.16, 0.08
216, 16, 8, 0, -3.02, 6.28, 0.07
217, 17, 8, 0, -3.47, 5.42, 0.07
218, 18, 8, 0, -3.73, 4.61, 0.06
219, 19, 8, 0, -3.85, 3.86, 0.05
220, 20, 8, 0, -3.85, 3.15, 0.04
221, 21, 8, 0, -3.79, 2.38, 0.03
222, 22, 8, 0, -3.83, 1.49, 0.04
223, 23, 8, 0, -4, 0.6, 0.03
224, 24, 8, 0, -4.1, -0.11, -0.01
225, 0, 9, 0, 6.22, -0.13, 0
226, 1, 9, 0, 6.27, -0.69, -0.01
227, 2, 9, 0, 6.37, -0.91, -0.01
228, 3, 9, 0, 6.51, -0.73, -0.01
229, 4, 9, 0, 6.64, -0.35, 0.01
230, 5, 9, 0, 6.74, 0.12, 0.04
231, 6, 9, 0, 6.84, 0.68, 0.07
232, 7, 9, 0, 6.95, 1.39, 0.09
233, 8, 9, 0, 6.99, 2.35, 0.12
234, 9, 9, 0, 6.73, 3.6, 0.17
235, 10, 9, 0, 5.87, 4.98, 0.25
236, 11, 9, 0, 4.25, 6.27, 0.33
237, 12, 9, 0, 1.99, 7.27, 0.37
238, 13, 9, 0, -0.45, 7.86, 0.33
239, 14, 9, 0, -2.45, 7.75, 0.22
240, 15, 9, 0, -3.71, 6.97, 0.14
241, 16, 9, 0, -4.37, 5.94, 0.1
242, 17, 9, 0, -4.66, 4.96, 0.08
243, 18, 9, 0, -4.73, 4.12, 0.06
244, 19, 9, 0, -4.68, 3.4, 0.04
245, 20, 9, 0, -4.53, 2.74, 0.02
246, 21, 9, 0, -4.39, 2.04, 0.02
247, 22, 9, 0, -4.44, 1.29, 0.04
248, 23, 9, 0, -4.64, 0.56, 0.02
249, 24, 9, 0, -4.72, -0.04, -0.01
250, 0, 10, 0, 6.26, -0.12, 0
251, 1, 10, 0, 6.32, -0.64, -0.01
252, 2, 10, 0, 6.41, -0.89, -0.01
253, 3, 10, 0, 6.5, -0.83, 0.01
254, 4, 10, 0, 6.56, -0.66, 0.04
255, 5, 10, 0, 6.66, -0.46, 0.06
256, 6, 10, 0, 6.89, -0.19, 0.07
257, 7, 10, 0, 7.26, 0.28, 0.08
258, 8, 10, 0, 7.58, 1.04, 0.12
259, 9, 10, 0, 7.49, 2.12, 0.22
260, 10, 10, 0, 6.56, 3.32, 0.35
261, 11, 10, 0, 4.71, 4.54, 0.45
262, 12, 10, 0, 2.06, 5.71, 0.5
263, 13, 10, 0, -0.99, 6.49, 0.49
264, 14, 10, 0, -3.61, 6.64, 0.38
265, 15, 10, 0, -5.17, 6.07, 0.23
266, 16, 10, 0, -5.77, 5.14, 0.13
267, 17, 10, 0, -5.82, 4.23, 0.08
268, 18, 10, 0, -5.66, 3.5, 0.04
269, 19, 10, 0, -5.38, 2.91, 0.02
270, 20, 10, 0, -5.07, 2.36, 0.01
271, 21, 10, 0, -4.91, 1.78, 0.02
272, 22, 10, 0, -5.01, 1.17, 0.04
273, 23, 10, 0, -5.2, 0.55, 0.02
274, 24, 10, 0, -5.26, 0.02, 0
275, 0, 11, 0, 6.2, -0.11, 0
276, 1, 11, 0, 6.25, -0.6, -0.01
277, 2, 11, 0, 6.28, -0.92, 0.01
278, 3, 11, 0, 6.26, -1.02, 0.03
279, 4, 11, 0, 6.27, -1.1, 0.05
280, 5, 11, 0, 6.44, -1.17, 0.05
281, 6, 11, 0, 6.87, -1.14, 0.04
282, 7, 11, 0, 7.47, -0.94, 0.06
283, 8, 11, 0, 7.96, -0.51, 0.13
284, 9, 11, 0, 7.81, 0.15, 0.29
285, 10, 11, 0, 6.64, 0.87, 0.46
286, 11, 11, 0, 4.56, 1.77, 0.58
287, 12, 11, 0, 1.65, 3.26, 0.63
288, 13, 11, 0, -1.78, 4.39, 0.59
289, 14, 11, 0, -4.75, 4.66, 0.48
290, 15, 11, 0, -6.45, 4.39, 0.31
291, 16, 11, 0, -6.96, 3.83, 0.16
292, 17, 11, 0, -6.8, 3.26, 0.07
293, 18, 11, 0, -6.37, 2.8, 0.02
294, 19, 11, 0, -5.87, 2.4, 0
295, 20, 11, 0, -5.49, 1.99, 0.01
296, 21, 11, 0, -5.39, 1.53, 0.03
297, 22, 11, 0, -5.53, 1.07, 0.03
298, 23, 11, 0, -5.68, 0.56, 0.01
299, 24, 11, 0, -5.7, 0.06, 0
300, 0, 12, 0, 6.02, -0.09, 0
301, 1, 12, 0, 6.03, -0.58, 0
302, 2, 12, 0, 5.97, -0.98, 0.02
303, 3, 12, 0, 5.86, -1.28, 0.04
304, 4, 12, 0, 5.88, -1.57, 0.03
305, 5, 12, 0, 6.19, -1.84, 0.02
306, 6, 12, 0, 6.76, -2.03, 0.02
307, 7, 12, 0, 7.38, -2.14, 0.06
308, 8, 12, 0, 7.76, -2.2, 0.16
309, 9, 12, 0, 7.4, -2.16, 0.33
310, 10, 12, 0, 5.91, -2.02, 0.51
311, 11, 12, 0, 3.34, -1.55, 0.64
312, 12, 12, 0, 0, 0, 0.72
313, 13, 12, 0, -3.34, 1.54, 0.64
314, 14, 12, 0, -5.92, 2.02, 0.51
315, 15, 12, 0, -7.4, 2.16, 0.33
316, 16, 12, 0, -7.76, 2.19, 0.16
317, 17, 12, 0, -7.38, 2.13, 0.06
318, 18, 12, 0, -6.75, 2.02, 0.02
319, 19, 12, 0, -6.19, 1.84, 0.02
320, 20, 12, 0, -5.88, 1.57, 0.03
321, 21, 12, 0, -5.86, 1.27, 0.04
322, 22, 12, 0, -5.97, 0.98, 0.02
323, 23, 12, 0, -6.03, 0.57, 0
324, 24, 12, 0, -6.02, 0.09, 0
325, 0, 13, 0, 5.7, -0.06, 0
326, 1, 13, 0, 5.67, -0.56, 0.01
327, 2, 13, 0, 5.53, -1.07, 0.03
328, 3, 13, 0, 5.39, -1.54, 0.03
329, 4, 13, 0, 5.49, -1.99, 0.01
330, 5, 13, 0, 5.88, -2.41, 0
331, 6, 13, 0, 6.37, -2.8, 0.03
332, 7, 13, 0, 6.8, -3.26, 0.07
333, 8, 13, 0, 6.96, -3.83, 0.16
334, 9, 13, 0, 6.45, -4.4, 0.31
335, 10, 13, 0, 4.74, -4.66, 0.48
336, 11, 13, 0, 1.78, -4.39, 0.59
337, 12, 13, 0, -1.66, -3.26, 0.63
338, 13, 13, 0, -4.56, -1.77, 0.58
339, 14, 13, 0, -6.64, -0.87, 0.46
340, 15, 13, 0, -7.81, -0.15, 0.29
341, 16, 13, 0, -7.95, 0.51, 0.13
342, 17, 13, 0, -7.47, 0.94, 0.06
343, 18, 13, 0, -6.87, 1.14, 0.04
344, 19, 13, 0, -6.44, 1.16, 0.05
345, 20, 13, 0, -6.27, 1.1, 0.05
346, 21, 13, 0, -6.27, 1.02, 0.03
347, 22, 13, 0, -6.28, 0.91, 0.01
348, 23, 13, 0, -6.25, 0.6, -0.01
349, 24, 13, 0, -6.21, 0.11, 0
350, 0, 14, 0, 5.26, -0.02, 0
351, 1, 14, 0, 5.2, -0.56, 0.02
352, 2, 14, 0, 5.01, -1.17, 0.04
353, 3, 14, 0, 4.91, -1.78, 0.02
354, 4, 14, 0, 5.07, -2.36, 0.01
355, 5, 14, 0, 5.38, -2.91, 0.02
356, 6, 14, 0, 5.66, -3.51, 0.04
357, 7, 14, 0, 5.82, -4.24, 0.08
358, 8, 14, 0, 5.77, -5.14, 0.13
359, 9, 14, 0, 5.17, -6.08, 0.23
360, 10, 14, 0, 3.6, -6.65, 0.38
361, 11, 14, 0, 0.98, -6.49, 0.49
362, 12, 14, 0, -2.07, -5.71, 0.5
363, 13, 14, 0, -4.71, -4.54, 0.45
364, 14, 14, 0, -6.56, -3.32, 0.35
365, 15, 14, 0, -7.49, -2.12, 0.22
366, 16, 14, 0, -7.58, -1.04, 0.12
367, 17, 14, 0, -7.26, -0.28, 0.08
368, 18, 14, 0, -6.89, 0.19, 0.07
369, 19, 14, 0, -6.66, 0.46, 0.06
370, 20, 14, 0, -6.56, 0.66, 0.04
371, 21, 14, 0, -6.5, 0.83, 0.01
372, 22, 14, 0, -6.41, 0.89, -0.01
373, 23, 14, 0, -6.32, 0.64, -0.01
374, 24, 14, 0, -6.27, 0.12, 0
375, 0, 15, 0, 4.71, 0.04, 0
376, 1, 15, 0, 4.63, -0.57, 0.02
377, 2, 15, 0, 4.44, -1.3, 0.04
378, 3, 15, 0, 4.39, -2.04, 0.02
379, 4, 15, 0, 4.53, -2.74, 0.02
380, 5, 15, 0, 4.68, -3.4, 0.04
381, 6, 15, 0, 4.73, -4.12, 0.06
382, 7, 15, 0, 4.65, -4.96, 0.08
383, 8, 15, 0, 4.37, -5.94, 0.1
384, 9, 15, 0, 3.71, -6.98, 0.14
385, 10, 15, 0, 2.44, -7.75, 0.22
386, 11, 15, 0, 0.44, -7.86, 0.33
387, 12, 15, 0, -1.99, -7.27, 0.37
388, 13, 15, 0, -4.25, -6.26, 0.33
389, 14, 15, 0, -5.88, -4.98, 0.25
390, 15, 15, 0, -6.73, -3.59, 0.17
391, 16, 15, 0, -6.99, -2.35, 0.12
392, 17, 15, 0, -6.95, -1.39, 0.09
393, 18, 15, 0, -6.84, -0.68, 0.07
394, 19, 15, 0, -6.74, -0.12, 0.04
395, 20, 15, 0, -6.64, 0.34, 0.01
396, 21, 15, 0, -6.51, 0.72, -0.01
397, 22, 15, 0, -6.37, 0.91, -0.01
398, 23, 15, 0, -6.27, 0.69, -0.01
399, 24, 15, 0, -6.22, 0.13, 0
400, 0, 16, 0, 4.09, 0.11, -0.01
401, 1, 16, 0, 4, -0.6, 0.03
402, 2, 16, 0, 3.83, -1.49, 0.04
403, 3, 16, 0, 3.79, -2.38, 0.03
404, 4, 16, 0, 3.85, -3.15, 0.04
405, 5, 16, 0, 3.85, -3.86, 0.05
406, 6, 16, 0, 3.72, -4.61, 0.06
407, 7, 16, 0, 3.47, -5.42, 0.07
408, 8, 16, 0, 3.02, -6.28, 0.07
409, 9, 16, 0, 2.31, -7.16, 0.08
410, 10, 16, 0, 1.26, -7.92, 0.1
411, 11, 16, 0, -0.18, -8.24, 0.15
412, 12, 16, 0, -1.93, -7.91, 0.2
413, 13, 16, 0, -3.67, -7.05, 0.2
414, 14, 16, 0, -5.05, -5.87, 0.17
415, 15, 16, 0, -5.93, -4.55, 0.13
416, 16, 16, 0, -6.38, -3.29, 0.1
417, 17, 16, 0, -6.56, -2.2, 0.07
418, 18, 16, 0, -6.61, -1.28, 0.05
419, 19, 16, 0, -6.58, -0.5, 0.02
420, 20, 16, 0, -6.48, 0.17, 0
421, 21, 16, 0, -6.33, 0.7, -0.01
422, 22, 16, 0, -6.21, 0.96, -0.01
423, 23, 16, 0, -6.13, 0.76, -0.01
424, 24, 16, 0, -6.09, 0.15, 0
425, 0, 17, 0, 3.38, 0.21, -0.01
426, 1, 17, 0, 3.28, -0.7, 0.04
427, 2, 17, 0, 3.13, -1.81, 0.05
428, 3, 17, 0, 3.1, -2.79, 0.04
429, 4, 17, 0, 3.07, -3.56, 0.05
430, 5, 17, 0, 2.95, -4.26, 0.05
431, 6, 17, 0, 2.72, -4.96, 0.06
432, 7, 17, 0, 2.38, -5.65, 0.06
433, 8, 17, 0, 1.88, -6.31, 0.06
434, 9, 17, 0, 1.19, -6.94, 0.05
435, 10, 17, 0, 0.32, -7.49, 0.04
436, 11, 17, 0, -0.73, -7.81, 0.05
437, 12, 17, 0, -1.93, -7.68, 0.07
438, 13, 17, 0, -3.17, -7.05, 0.09
439, 14, 17, 0, -4.3, -6.08, 0.09
440, 15, 17, 0, -5.15, -4.94, 0.08
441, 16, 17, 0, -5.7, -3.75, 0.07
442, 17, 17, 0, -6.02, -2.62, 0.05
443, 18, 17, 0, -6.17, -1.59, 0.03
444, 19, 17, 0, -6.2, -0.67, 0.01
445, 20, 17, 0, -6.13, 0.11, -0.01
446, 21, 17, 0, -6.03, 0.71, -0.01
447, 22, 17, 0, -5.96, 1.04, -0.01
448, 23, 17, 0, -5.91, 0.84, -0.01
449, 24, 17, 0, -5.87, 0.17, 0
450, 0, 18, 0, 2.54, 0.37, -0.02
451, 1, 18, 0, 2.45, -0.9, 0.04
452, 2, 18, 0, 2.35, -2.23, 0.05
453, 3, 18, 0, 2.31, -3.18, 0.04
454, 4, 18, 0, 2.22, -3.89, 0.04
455, 5, 18, 0, 2.04, -4.55, 0.05
456, 6, 18, 0, 1.79, -5.18, 0.05
457, 7, 18, 0, 1.44, -5.74, 0.05
458, 8, 18, 0, 0.97, -6.21, 0.04
459, 9, 18, 0, 0.37, -6.6, 0.04
460, 10, 18, 0, -0.34, -6.9, 0.02
461, 11, 18, 0, -1.1, -7.08, 0.01
462, 12, 18, 0, -1.92, -7, 0.01
463, 13, 18, 0, -2.77, -6.58, 0.03
464, 14, 18, 0, -3.62, -5.84, 0.05
465, 15, 18, 0, -4.38, -4.89, 0.05
466, 16, 18, 0, -4.96, -3.83, 0.04
467, 17, 18, 0, -5.35, -2.75, 0.03
468, 18, 18, 0, -5.57, -1.7, 0.02
469, 19, 18, 0, -5.67, -0.74, 0.01
470, 20, 18, 0, -5.69, 0.09, 0
471, 21, 18, 0, -5.66, 0.75, -0.01
472, 22, 18, 0, -5.63, 1.11, -0.01
473, 23, 18, 0, -5.61, 0.92, -0.01
474, 24, 18, 0, -5.58, 0.2, 0
475, 0, 19, 0, 1.56, 0.61, -0.03
476, 1, 19, 0, 1.53, -1.21, 0.05
477, 2, 19, 0, 1.5, -2.65, 0.04
478, 3, 19, 0, 1.47, -3.48, 0.03
479, 4, 19, 0, 1.35, -4.13, 0.04
480, 5, 19, 0, 1.17, -4.74, 0.04
481, 6, 19, 0, 0.95, -5.3, 0.03
482, 7, 19, 0, 0.66, -5.75, 0.03
483, 8, 19, 0, 0.28, -6.09, 0.03
484, 9, 19, 0, -0.2, -6.3, 0.03
485, 10, 19, 0, -0.74, -6.4, 0.02
486, 11, 19, 0, -1.3, -6.41, 0
487, 12, 19, 0, -1.86, -6.29, -0.01
488, 13, 19, 0, -2.43, -5.98, 0
489, 14, 19, 0, -3.04, -5.42, 0.02
490, 15, 19, 0, -3.66, -4.65, 0.04
491, 16, 19, 0, -4.21, -3.73, 0.04
492, 17, 19, 0, -4.63, -2.73, 0.03
493, 18, 19, 0, -4.92, -1.72, 0.03
494, 19, 19, 0, -5.09, -0.76, 0.02
495, 20, 19, 0, -5.18, 0.09, 0.01
496, 21, 19, 0, -5.22, 0.78, 0
497, 22, 19, 0, -5.23, 1.19, 0
498, 23, 19, 0, -5.24, 1, -0.01
499, 24, 19, 0, -5.22, 0.22, 0
500, 0, 20, 0, 0.57, 0.83, -0.01
501, 1, 20, 0, 0.6, -1.62, 0.04
502, 2, 20, 0, 0.65, -2.98, 0.02
503, 3, 20, 0, 0.63, -3.67, 0.02
504, 4, 20, 0, 0.53, -4.28, 0.02
505, 5, 20, 0, 0.39, -4.85, 0.02
506, 6, 20, 0, 0.22, -5.33, 0.02
507, 7, 20, 0, 0, -5.72, 0.02
508, 8, 20, 0, -0.28, -5.98, 0.02
509, 9, 20, 0, -0.61, -6.1, 0.02
510, 10, 20, 0, -0.99, -6.08, 0.02
511, 11, 20, 0, -1.38, -5.96, 0.01
512, 12, 20, 0, -1.75, -5.76, 0
513, 13, 20, 0, -2.12, -5.47, 0
514, 14, 20, 0, -2.54, -5.02, 0.01
515, 15, 20, 0, -3.01, -4.39, 0.03
516, 16, 20, 0, -3.5, -3.61, 0.04
517, 17, 20, 0, -3.93, -2.7, 0.04
518, 18, 20, 0, -4.27, -1.74, 0.03
519, 19, 20, 0, -4.5, -0.79, 0.02
520, 20, 20, 0, -4.65, 0.09, 0.01
521, 21, 20, 0, -4.73, 0.82, 0
522, 22, 20, 0, -4.78, 1.26, 0
523, 23, 20, 0, -4.8, 1.08, 0
524, 24, 20, 0, -4.8, 0.23, 0
525, 0, 21, 0, -0.21, 0.71, 0.04
526, 1, 21, 0, -0.18, -1.96, 0.02
527, 2, 21, 0, -0.14, -3.13, 0.01
528, 3, 21, 0, -0.14, -3.76, 0.01
529, 4, 21, 0, -0.2, -4.35, 0.01
530, 5, 21, 0, -0.28, -4.88, 0.01
531, 6, 21, 0, -0.4, -5.32, 0.01
532, 7, 21, 0, -0.55, -5.66, 0.01
533, 8, 21, 0, -0.73, -5.89, 0.01
534, 9, 21, 0, -0.93, -5.97, 0.01
535, 10, 21, 0, -1.16, -5.9, 0.01
536, 11, 21, 0, -1.39, -5.72, 0.01
537, 12, 21, 0, -1.62, -5.46, 0
538, 13, 21, 0, -1.84, -5.14, 0
539, 14, 21, 0, -2.11, -4.74, 0.01
540, 15, 21, 0, -2.45, -4.2, 0.03
541, 16, 21, 0, -2.85, -3.52, 0.04
542, 17, 21, 0, -3.26, -2.7, 0.05
543, 18, 21, 0, -3.63, -1.78, 0.04
544, 19, 21, 0, -3.91, -0.82, 0.03
