length,steps,threads,seconds,nanoseconds
250000,50,2,0,5484824
250000,50,4,0,2801726
250000,50,8,0,1548981
250000,50,16,0,981375
250000,50,32,0,3793088
250000,60,2,0,6547966
250000,60,4,0,3395228
250000,60,8,0,1853082
250000,60,16,0,1180781
250000,60,32,0,4626370
250000,70,2,0,7653078
250000,70,4,0,3941435
250000,70,8,0,2126544
250000,70,16,0,1336845
250000,70,32,0,5258336
250000,80,2,0,8757015
250000,80,4,0,4476902
250000,80,8,0,2474079
250000,80,16,0,1522831
250000,80,32,0,5886528
250000,90,2,0,9686581
250000,90,4,0,5034559
250000,90,8,0,2766894
250000,90,16,0,1634670
250000,90,32,0,6943225
250000,100,2,0,10985258
250000,100,4,0,5609171
250000,100,8,0,3059083
250000,100,16,0,1867110
250000,100,32,0,7330883
300000,10,2,0,1414373
300000,10,4,0,734885
300000,10,8,0,422366
300000,10,16,0,293301
300000,10,32,0,1175372
300000,20,2,0,2927345
300000,20,4,0,1398390
300000,20,8,0,773895
300000,20,16,0,500849
300000,20,32,0,1805153
300000,30,2,0,4254455
300000,30,4,0,2084296
300000,30,8,0,1140476
300000,30,16,0,705204
300000,30,32,0,2578562
300000,40,2,0,5289761
300000,40,4,0,2746780
300000,40,8,0,1507116
300000,40,16,0,915828
300000,40,32,0,3277340
300000,50,2,0,6817851
300000,50,4,0,3449620
300000,50,8,0,1876670
300000,50,16,0,1145987
300000,50,32,0,4101985
300000,60,2,0,8124056
300000,60,4,0,4114982
300000,60,8,0,2217886
300000,60,16,0,1330547
300000,60,32,0,4862359
300000,70,2,0,9519656
300000,70,4,0,4798140
300000,70,8,0,2583139
300000,70,16,0,1545238
300000,70,32,0,5484449
300000,80,2,0,10355930
300000,80,4,0,5464595
300000,80,8,0,2937488
300000,80,16,0,1777372
300000,80,32,0,6229065
300000,90,2,0,11729018
300000,90,4,0,6141826
300000,90,8,0,3307525
300000,90,16,0,1930625
300000,90,32,0,6907126
300000,100,2,0,12953385
300000,100,4,0,6858290
300000,100,8,0,3664031
300000,100,16,0,2149650
300000,100,32,0,7861830
350000,10,2,0,1497054
350000,10,4,0,884813
350000,10,8,0,480166
350000,10,16,0,337785
350000,10,32,0,1103379
350000,20,2,0,3005839
350000,20,4,0,1647101
350000,20,8,0,878166
350000,20,16,0,577047
350000,20,32,0,1860611
350000,30,2,0,4449710
350000,30,4,0,2431150
350000,30,8,0,1295436
350000,30,16,0,800368
350000,30,32,0,2666047
350000,40,2,0,5888285
350000,40,4,0,3150181
350000,40,8,0,1701197
350000,40,16,0,1020965
350000,40,32,0,3364032
350000,50,2,0,7405235
350000,50,4,0,3891312
350000,50,8,0,2116295
350000,50,16,0,1245481
350000,50,32,0,4243647
350000,60,2,0,8982565
350000,60,4,0,4614734
350000,60,8,0,2496547
350000,60,16,0,1466431
350000,60,32,0,4983227
350000,70,2,0,10564856
350000,70,4,0,5349568
350000,70,8,0,2891404
350000,70,16,0,1694070
350000,70,32,0,5887953
350000,80,2,0,11964891
350000,80,4,0,6103194
350000,80,8,0,3273028
350000,80,16,0,1923504
350000,80,32,0,6548317
350000,90,2,0,13191217
350000,90,4,0,7014464
350000,90,8,0,3715024
