length,steps,threads,seconds,nanoseconds
250000,40,2,0,5249672
250000,40,4,0,2554064
250000,40,8,0,3654403
250000,40,16,0,9380237
250000,40,32,0,10384132
250000,50,2,0,6011748
250000,50,4,0,5227346
250000,50,8,0,4544619
250000,50,16,0,10833113
250000,50,32,0,14933329
250000,60,2,0,6768584
250000,60,4,0,3339953
250000,60,8,0,5087839
250000,60,16,0,14817808
250000,60,32,0,16857326
250000,70,2,0,7828361
250000,70,4,0,3900019
250000,70,8,0,5199509
250000,70,16,0,13701892
250000,70,32,0,19063297
250000,80,2,0,16400898
250000,80,4,0,8365199
250000,80,8,0,6176619
250000,80,16,0,18175176
250000,80,32,0,25892357
250000,90,2,0,17876848
250000,90,4,0,4973416
250000,90,8,0,6729175
250000,90,16,0,20269039
250000,90,32,0,23437441
250000,100,2,0,11017342
250000,100,4,0,5531875
250000,100,8,0,7193116
250000,100,16,0,21863914
250000,100,32,0,24651452
300000,10,2,0,1843486
300000,10,4,0,992799
300000,10,8,0,3431314
300000,10,16,0,3029026
300000,10,32,0,4641476
300000,20,2,0,3115637
300000,20,4,0,1549240
300000,20,8,0,3213954
300000,20,16,0,6098267
300000,20,32,0,6567259
300000,30,2,0,5228301
300000,30,4,0,2134314
300000,30,8,0,3480295
300000,30,16,0,9178674
300000,30,32,0,11439240
300000,40,2,0,6708327
300000,40,4,0,2827920
300000,40,8,0,4511268
300000,40,16,0,10003671
300000,40,32,0,13874573
300000,50,2,0,7097377
300000,50,4,0,3535738
300000,50,8,0,4826437
300000,50,16,0,14392824
300000,50,32,0,18341150
300000,60,2,0,8505663
300000,60,4,0,4232804
300000,60,8,0,5884192
300000,60,16,0,14197867
300000,60,32,0,20138604
300000,70,2,0,9763537
300000,70,4,0,4909256
300000,70,8,0,6468286
300000,70,16,0,17898965
300000,70,32,0,30174822
300000,80,2,0,11299263
300000,80,4,0,5563642
300000,80,8,0,7123660
300000,80,16,0,21117317
300000,80,32,0,28908919
300000,90,2,0,19972822
300000,90,4,0,6331641
300000,90,8,0,5918220
300000,90,16,0,21407814
300000,90,32,0,33770250
300000,100,2,0,13789848
300000,100,4,0,6947458
300000,100,8,0,8640521
300000,100,16,0,27021956
300000,100,32,0,39516370
350000,10,2,0,2172349
350000,10,4,0,1061358
350000,10,8,0,944521
350000,10,16,0,5685549
350000,10,32,0,5001621
350000,20,2,0,5057335
350000,20,4,0,2536202
350000,20,8,0,3625726
350000,20,16,0,6837641
350000,20,32,0,8084588
350000,30,2,0,5546803
350000,30,4,0,2851466
350000,30,8,0,4485831
350000,30,16,0,9882309
350000,30,32,0,12606086
350000,40,2,0,11658806
350000,40,4,0,6118378
350000,40,8,0,5344202
350000,40,16,0,12838648
350000,40,32,0,15821659
350000,50,2,0,8744468
350000,50,4,0,4562797
350000,50,8,0,4732386
350000,50,16,0,15979050
350000,50,32,0,20218205
350000,60,2,0,10248074
350000,60,4,0,5497932
350000,60,8,0,7076798
350000,60,16,0,17499493
350000,60,32,0,31186352
350000,70,2,0,20876466
350000,70,4,0,10677197
350000,70,8,0,6018220
350000,70,16,0,21694736
350000,70,32,0,33285047
350000,80,2,0,13526835
350000,80,4,0,7314567
350000,80,8,0,7635888
350000,80,16,0,22876577
350000,80,32,0,43145910
350000,90,2,0,15129831
350000,90,4,0,8142270
350000,90,8,0,9212262
350000,90,16,0,28752749
350000,90,32,0,49233863
350000,100,2,0,16777446
350000,100,4,0,9033919
350000,100,8,0,10510117
350000,100,16,0,31753843
350000,100,32,0,45630653
400000,10,2,0,3301934
400000,10,4,0,2080208
400000,10,8,0,4006948
400000,10,16,0,3509530
400000,10,32,0,5398477
400000,20,2,0,4750735
400000,20,4,0,2959507
400000,20,8,0,4585150
400000,20,16,0,8002486
400000,20,32,0,10130483
400000,30,2,0,6748541
400000,30,4,0,4431984
400000,30,8,0,6538721
400000,30,16,0,11463904
400000,30,32,0,16254282
400000,40,2,0,8754090
400000,40,4,0,5844494
400000,40,8,0,7626198
400000,40,16,0,14064709
400000,40,32,0,19251645
400000,50,2,0,10684601
400000,50,4,0,7272552
400000,50,8,0,9089524
400000,50,16,0,18319789
400000,50,32,0,26042471
400000,60,2,0,12813550
400000,60,4,0,8634355
