length,steps,threads,seconds,nanoseconds
50000,40,2,0,2685944
50000,40,4,0,2443815
50000,40,8,0,3874670
50000,40,16,0,11002137
50000,40,32,0,13587912
50000,50,2,0,3782784
50000,50,4,0,3776727
50000,50,8,0,8581354
50000,50,16,0,12103666
50000,50,32,0,15615552
50000,60,2,0,3821386
50000,60,4,0,3532900
50000,60,8,0,6417529
50000,60,16,0,16366611
50000,60,32,0,20755800
50000,70,2,0,5757746
50000,70,4,0,4255859
50000,70,8,0,7361746
50000,70,16,0,17153252
50000,70,32,0,24625503
50000,80,2,0,10715819
50000,80,4,0,4652788
50000,80,8,0,8412156
50000,80,16,0,17657858
50000,80,32,0,26090786
50000,90,2,0,9312457
50000,90,4,0,5751840
50000,90,8,0,8883272
50000,90,16,0,20682377
50000,90,32,0,28736319
50000,100,2,0,6484862
50000,100,4,0,6052433
50000,100,8,0,9238725
50000,100,16,0,21835509
50000,100,32,0,30413706
60000,10,2,0,1075797
60000,10,4,0,1188088
60000,10,8,0,3714913
60000,10,16,0,5190779
60000,10,32,0,3552938
60000,20,2,0,3749027
60000,20,4,0,1652522
60000,20,8,0,2556944
60000,20,16,0,7650985
60000,20,32,0,6474078
60000,30,2,0,2657929
60000,30,4,0,2641529
60000,30,8,0,5047044
60000,30,16,0,9023454
60000,30,32,0,11839802
60000,40,2,0,3462574
60000,40,4,0,2566883
60000,40,8,0,3775738
60000,40,16,0,11573202
60000,40,32,0,14791012
60000,50,2,0,4677436
60000,50,4,0,3047790
60000,50,8,0,6357714
60000,50,16,0,13123779
60000,50,32,0,18878341
60000,60,2,0,5687435
60000,60,4,0,5309040
60000,60,8,0,5534489
60000,60,16,0,16068161
60000,60,32,0,19604948
60000,70,2,0,4565233
60000,70,4,0,4228292
60000,70,8,0,9139031
60000,70,16,0,17049681
60000,70,32,0,28452971
60000,80,2,0,9129600
60000,80,4,0,4863420
60000,80,8,0,8769329
60000,80,16,0,21825650
60000,80,32,0,35873662
60000,90,2,0,8323724
60000,90,4,0,6297314
60000,90,8,0,10344249
60000,90,16,0,23338971
60000,90,32,0,30670600
60000,100,2,0,8132365
60000,100,4,0,6723730
60000,100,8,0,9671262
60000,100,16,0,28046089
60000,100,32,0,41923187
70000,10,2,0,1380391
70000,10,4,0,835666
70000,10,8,0,4340578
70000,10,16,0,3917108
70000,10,32,0,4131184
70000,20,2,0,3422206
70000,20,4,0,1792090
70000,20,8,0,4068164
70000,20,16,0,7657401
70000,20,32,0,7598381
70000,30,2,0,2669410
70000,30,4,0,2341513
70000,30,8,0,8016501
70000,30,16,0,9792730
70000,30,32,0,12624382
70000,40,2,0,4289623
70000,40,4,0,3741711
70000,40,8,0,7777512
70000,40,16,0,12092760
70000,40,32,0,15935400
70000,50,2,0,8260317
70000,50,4,0,5197280
70000,50,8,0,6120866
70000,50,16,0,14874681
70000,50,32,0,20275117
70000,60,2,0,6178304
70000,60,4,0,4188295
70000,60,8,0,8188054
70000,60,16,0,17171403
70000,60,32,0,24270534
70000,70,2,0,7715690
70000,70,4,0,4883739
70000,70,8,0,9292208
70000,70,16,0,20937122
70000,70,32,0,29485428
70000,80,2,0,8198908
70000,80,4,0,6384255
70000,80,8,0,10339532
70000,80,16,0,25675783
70000,80,32,0,34030353
70000,90,2,0,9252030
70000,90,4,0,6281438
70000,90,8,0,13939293
70000,90,16,0,25805824
70000,90,32,0,39393014
70000,100,2,0,13932432
70000,100,4,0,8040599
70000,100,8,0,12023867
70000,100,16,0,33726247
70000,100,32,0,44894627
80000,10,2,0,2488224
80000,10,4,0,974258
80000,10,8,0,1604918
80000,10,16,0,6448845
80000,10,32,0,5092942
80000,20,2,0,4624517
80000,20,4,0,2218444
80000,20,8,0,3521791
80000,20,16,0,8638947
80000,20,32,0,10214682
80000,30,2,0,4101996
80000,30,4,0,3482207
80000,30,8,0,5345479
80000,30,16,0,11519041
80000,30,32,0,14727571
80000,40,2,0,4356445
80000,40,4,0,5327641
80000,40,8,0,7728574
80000,40,16,0,14144331
80000,40,32,0,17317817
80000,50,2,0,6449221
80000,50,4,0,5294592
80000,50,8,0,7473641
80000,50,16,0,16395086
80000,50,32,0,24092440
80000,60,2,0,7791445
80000,60,4,0,5350504
80000,60,8,0,8835400
80000,60,16,0,19412863
80000,60,32,0,28543117
80000,70,2,0,12234762
80000,70,4,0,6404119
80000,70,8,0,10625295
80000,70,16,0,25998523
80000,70,32,0,33630499
80000,80,2,0,8321027
80000,80,4,0,6922612
80000,80,8,0,11568698
80000,80,16,0,26433037
80000,80,32,0,37423670
80000,90,2,0,10449242
80000,90,4,0,7065022
80000,90,8,0,13109929
80000,90,16,0,28509003
80000,90,32,0,46877349
80000,100,2,0,8887868
80000,100,4,0,8102059
80000,100,8,0,12147731
80000,100,16,0,35407328
80000,100,32,0,48737815
90000,10,2,0,1828497
90000,10,4,0,1512100
90000,10,8,0,1966340
90000,10,16,0,6167079
90000,10,32,0,4890910
90000,20,2,0,2714076
90000,20,4,0,4183831
90000,20,8,0,3126932
90000,20,16,0,8833853
90000,20,32,0,9852767
90000,30,2,0,3992952
90000,30,4,0,3654716
90000,30,8,0,7489968
90000,30,16,0,11722496
90000,30,32,0,14575093
90000,40,2,0,5737856
90000,40,4,0,5109030
90000,40,8,0,7227999
90000,40,16,0,15029981
90000,40,32,0,19020526
90000,50,2,0,8255141
90000,50,4,0,5052561
90000,50,8,0,11362913
90000,50,16,0,16355578
90000,50,32,0,25317821
90000,60,2,0,9508120
90000,60,4,0,5226542
90000,60,8,0,9399690
90000,60,16,0,23563612
90000,60,32,0,31167408
90000,70,2,0,6897059
90000,70,4,0,6235067
90000,70,8,0,13089032
90000,70,16,0,26095417
90000,70,32,0,40483414
90000,80,2,0,10506060
90000,80,4,0,7027693
90000,80,8,0,12553239
90000,80,16,0,30057743
90000,80,32,0,44778949
90000,90,2,0,8644841
90000,90,4,0,7935221
90000,90,8,0,13182372
90000,90,16,0,35576799
90000,90,32,0,61353149
90000,100,2,0,11331822
90000,100,4,0,8863748
90000,100,8,0,13963654
90000,100,16,0,43668266
90000,100,32,0,56580303
100000,10,2,0,1854710
100000,10,4,0,1415593
100000,10,8,0,3248389
100000,10,16,0,5989101
100000,10,32,0,5406104
100000,20,2,0,2442458
100000,20,4,0,2216812
100000,20,8,0,14451048
100000,20,16,0,9504981
100000,20,32,0,11239805
100000,30,2,0,4612906
100000,30,4,0,4258127
100000,30,8,0,6216558
100000,30,16,0,12607265
100000,30,32,0,15797355
100000,40,2,0,5585405
100000,40,4,0,3902929
100000,40,8,0,6372054
100000,40,16,0,16153148
100000,40,32,0,22254858
100000,50,2,0,5885998
100000,50,4,0,4991036
100000,50,8,0,8360384
100000,50,16,0,19943150
100000,50,32,0,34394468
100000,60,2,0,9034839
100000,60,4,0,5835807
100000,60,8,0,9470097
100000,60,16,0,26151111
100000,60,32,0,37706520
100000,70,2,0,7101348
100000,70,4,0,6773036
100000,70,8,0,13723098
100000,70,16,0,30070750
100000,70,32,0,53781984
100000,80,2,0,9978334
100000,80,4,0,7744372
100000,80,8,0,13445317
100000,80,16,0,33948595
100000,80,32,0,49758655
100000,90,2,0,9280336
100000,90,4,0,8655293
100000,90,8,0,15441262
100000,90,16,0,42035874
100000,90,32,0,53555279
100000,100,2,0,11430801
100000,100,4,0,9626487
100000,100,8,0,15412337
100000,100,16,0,46686873
100000,100,32,0,75981452
